"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_SKU";
"C1";"330nF";"CPOL-EUE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"C2";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"F1";"FUSESH22,5";"FUSESH22,5";"SH22,5";"Fuse";"";"";"unknown";"unknown";"";"";
"HLK1";"HLK-PM013W";"HLK-PM013W";"HLK-PM01";"Hi-Link Power Supply";"";"";"";"";"";"";
"IC1";"7805L";"7805L";"TO92";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";
"IC3";"LM1117T-1.8";"LM1117T-1.8";"TO220";"";"";"";"";"";"";"";
"J1";"";"AK500/2-H";"AK500/2-H";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"J2";"";"AK500/2-H";"AK500/2-H";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"J3";"";"AK500/2-H";"AK500/2-H";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"OK3";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";"PC817X4J000F";"9707727";"97K7059";"";"";
"OK4";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";"PC817X4J000F";"9707727";"97K7059";"";"";
"Q1";"BC548";"BC548";"TO92-EBC";"NPN Transistor";"";"";"";"";"";"";
"Q2";"BC548";"BC548";"TO92-EBC";"NPN Transistor";"";"";"";"";"";"";
"R1";"220";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";
"R2";"220";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";
"R3";"1k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";
"R4";"1k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";
"S1";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";" SWCH-08441";"COM-00097";
"U$1";"ESP01";"ESP01";"ESP01";"ESP8266 Wifi module 01";"";"";"";"";"";"";
